frame,predicted_digit,,last_4_digits
1,2499,,24.99
1.1,2496,,24.96
1.2,2496,,24.96
2.1,1102492,,24.92
2.2,2492,,24.92
3,2492,,24.92
3.1,2492,,24.92
3.2,2492,,24.92
4,2492,,24.92
4.1,2494,,24.94
4.2,2494,,24.94
5,2494,,24.94
5.2,2485,,24.85
6,2485,,24.85
6.1,1102482,,24.82
6.2,2482,,24.82
7,2482,,24.82
7.1,2485,,24.85
7.2,2485,,24.85
8,2485,,24.85
8.1,2483,,24.83
9.1,2486,,24.86
9.2,2486,,24.86
10,2486,,24.86
11,2490,,24.9
12.1,2495,,24.95
12.2,2495,,24.95
13,2495,,24.95
13.1,2490,,24.9
14,2409,,24.09
14.1,402502,,25.02
14.2,2509,,25.09
15,2502,,25.02
15.1,2504,,25.04
15.2,2504,,25.04
18.1,2499,,24.99
19,1102499,,24.99
21.2,2498,,24.98
23.1,2505,,25.05
23.2,2505,,25.05
24,2505,,25.05
24.1,112505,,25.05
24.2,2505,,25.05
25,2505,,25.05
27.2,2496,,24.96
28.1,2494,,24.94
29,112494,,24.94
30.1,2496,,24.96
30.2,2496,,24.96
31,112496,,24.96
31.1,2493,,24.93
31.2,2491,,24.91
35.1,2506,,25.06
35.2,2506,,25.06
36,2506,,25.06
38.1,2495,,24.95
38.2,2495,,24.95
40,2493,,24.93
45.1,802482,,24.82
46,2482,,24.82
47.1,2499,,24.99
52.2,2498,,24.98
53,2409,,24.09
54.1,2494,,24.94
55,2494,,24.94
56,62493,,24.93
56.2,2489,,24.89
57.2,2489,,24.89
58,2489,,24.89
60.1,2485,,24.85
60.2,2485,,24.85
61,2485,,24.85
61.1,2492,,24.92
64,2492,,24.92
66.1,802486,,24.86
66.2,112486,,24.86
67,2486,,24.86
68,2488,,24.88
68.2,1102493,,24.93
69.1,1102484,,24.84
69.2,112484,,24.84
70,2484,,24.84
71.1,2485,,24.85
72,2485,,24.85
72.1,2490,,24.9
73.1,2496,,24.96
73.2,2496,,24.96
74,2496,,24.96
74.2,2492,,24.92
75,2492,,24.92
75.1,2495,,24.95
75.2,2495,,24.95
78.1,2485,,24.85
78.2,2485,,24.85
79,2485,,24.85
79.1,2486,,24.86
79.2,2486,,24.86
80,112486,,24.86
80.2,2483,,24.83
82.2,2482,,24.82
83,2482,,24.82
83.1,2462,,24.62
83.2,2482,,24.82
84,2482,,24.82
84.1,2483,,24.83
85.2,2485,,24.85
86,2485,,24.85
87,2488,,24.88
87.1,2485,,24.85
87.2,1102485,,24.85
88,2485,,24.85
88.1,2485,,24.85
88.2,2485,,24.85
89,1102485,,24.85
90.1,102492,,24.92
90.2,2492,,24.92
91.1,2492,,24.92
92,2492,,24.92
92.1,2494,,24.94
93,2494,,24.94
93.1,112494,,24.94
93.2,112494,,24.94
94,2494,,24.94
95.1,2494,,24.94
95.2,2494,,24.94
96,2494,,24.94
96.1,2494,,24.94
96.2,2494,,24.94
97,2494,,24.94
97.1,2496,,24.96
97.2,2496,,24.96
98,2496,,24.96
98.1,2405,,24.05
99,2495,,24.95
99.2,2492,,24.92
100,2492,,24.92
102.1,2489,,24.89
103.1,2493,,24.93
107,2483,,24.83
107.2,2485,,24.85
108,2485,,24.85
108.1,2484,,24.84
108.2,2484,,24.84
109,2464,,24.64
109.1,2485,,24.85
109.2,2485,,24.85
110,2485,,24.85
110.1,2489,,24.89
110.2,802489,,24.89
111,2489,,24.89
113.1,2486,,24.86
113.2,2486,,24.86
114,2486,,24.86
116,2484,,24.84
117.2,2492,,24.92
118,1102492,,24.92
120.1,2489,,24.89
121,2488,,24.88
121.1,2495,,24.95
121.2,2495,,24.95
122,2495,,24.95
123.1,2496,,24.96
123.2,2496,,24.96
126.2,2494,,24.94
127,2494,,24.94
127.2,402492,,24.92
128,112492,,24.92
129.1,112492,,24.92
129.2,2492,,24.92
130,2492,,24.92
130.1,2496,,24.96
132,2499,,24.99
133.1,2505,,25.05
133.2,2505,,25.05
134,2505,,25.05
134.1,2502,,25.02
134.2,2502,,25.02
135.1,2504,,25.04
135.2,2504,,25.04
136,2504,,25.04
139.2,2498,,24.98
140,2498,,24.98
140.1,2495,,24.95
140.2,2495,,24.95
141,2495,,24.95
142.1,2489,,24.89
142.2,2489,,24.89
143,2489,,24.89
143.1,2484,,24.84
143.2,2484,,24.84
144,2484,,24.84
144.2,2486,,24.86
145,2476,,24.76
147.1,2482,,24.82
149.1,2486,,24.86
150,2486,,24.86
150.1,112482,,24.82
150.2,2482,,24.82
152.1,112496,,24.96
152.2,2496,,24.96
153,1102496,,24.96
153.1,2496,,24.96
153.2,2496,,24.96
154,2496,,24.96
159.1,2495,,24.95
159.2,2495,,24.95
160,2495,,24.95
164,2502,,25.02
164.1,1102504,,25.04
164.2,402504,,25.04
165,2504,,25.04
167,1102508,,25.08
167.1,2505,,25.05
167.2,2505,,25.05
168,112505,,25.05
168.1,2508,,25.08
168.2,2509,,25.09
169,2509,,25.09
171.1,2496,,24.96
171.2,112496,,24.96
172,2496,,24.96
173.1,802495,,24.95
173.2,2495,,24.95
174,2495,,24.95
174.1,11112489,,24.89
174.2,2480,,24.8
175,2489,,24.89
175.1,2492,,24.92
175.2,2492,,24.92
177.1,112495,,24.95
177.2,2495,,24.95
178,2495,,24.95
178.1,2495,,24.95
179,2495,,24.95
181.1,112492,,24.92
181.2,2492,,24.92
182,112492,,24.92
182.1,402494,,24.94
182.2,2494,,24.94
183.1,2494,,24.94
183.2,2494,,24.94
184,4112494,,24.94
187,112488,,24.88
187.1,802495,,24.95
187.2,2495,,24.95
188,2495,,24.95
189.1,2489,,24.89
190.1,2492,,24.92
190.2,2492,,24.92
191.1,2496,,24.96
191.2,1102496,,24.96
192,2496,,24.96
192.1,2496,,24.96
192.2,11112496,,24.96
193,2496,,24.96
195.1,2494,,24.94
195.2,2494,,24.94
196,4112494,,24.94
198.1,1102495,,24.95
198.2,2495,,24.95
199,2495,,24.95
199.1,2495,,24.95
199.2,2495,,24.95
200,2495,,24.95
200.1,1102496,,24.96
200.2,2496,,24.96
201,1102496,,24.96
202.1,2499,,24.99
202.2,2499,,24.99
203,2499,,24.99
208.1,2499,,24.99
208.2,2499,,24.99
209,112490,,24.9
209.1,2494,,24.94
209.2,11112494,,24.94
210,2494,,24.94
210.1,2494,,24.94
210.2,2494,,24.94
211,2494,,24.94
213,2499,,24.99
214.1,2504,,25.04
214.2,2504,,25.04
215,2504,,25.04
216,2503,,25.03
217,1102499,,24.99
218.1,802502,,25.02
218.2,2502,,25.02
221.1,2493,,24.93
226.1,602485,,24.85
226.2,112485,,24.85
227,82485,,24.85
227.1,602485,,24.85
227.2,112485,,24.85
228,1102485,,24.85
231.1,402498,,24.98
233,1102500,,25
234,2501,,25.01
234.1,2504,,25.04
234.2,2504,,25.04
236.2,2499,,24.99
237,112490,,24.9
240.1,1102499,,24.99
241,2499,,24.99
